idx,file_name_list,speakers,visual_features,acoustic_features,lexical_features,emotion_labels
57,Ses01F_impro05_M019,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M019.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M019.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M019.npy,3
58,Ses01F_impro05_M024,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M024.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M024.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M024.npy,3
59,Ses01F_impro05_M026,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M026.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M026.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M026.npy,3
60,Ses01F_impro05_M027,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M027.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M027.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M027.npy,3
61,Ses01F_impro05_M028,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M028.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M028.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M028.npy,3
62,Ses01F_impro05_M030,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M030.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M030.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M030.npy,3
63,Ses01F_impro05_M035,M01,/features/visual_features/Session1/Ses01F_impro05/Ses01F_impro05_M035.npy,/features/acoustic_features/Session1/Ses01F_impro05/Ses01F_impro05_M035.npy,/features/lexical_features/Session1/Ses01F_impro05/Ses01F_impro05_M035.npy,3
64,Ses01F_impro06_F004,F01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_F004.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_F004.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_F004.npy,3
65,Ses01F_impro06_F007,F01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_F007.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_F007.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_F007.npy,1
66,Ses01F_impro06_F015,F01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_F015.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_F015.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_F015.npy,1
67,Ses01F_impro06_F016,F01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_F016.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_F016.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_F016.npy,3
68,Ses01F_impro06_F018,F01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_F018.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_F018.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_F018.npy,3
69,Ses01F_impro06_F021,F01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_F021.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_F021.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_F021.npy,1
70,Ses01F_impro06_F022,F01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_F022.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_F022.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_F022.npy,1
71,Ses01F_impro06_F023,F01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_F023.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_F023.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_F023.npy,1
72,Ses01F_impro06_F024,F01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_F024.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_F024.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_F024.npy,1
73,Ses01F_impro06_F026,F01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_F026.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_F026.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_F026.npy,1
74,Ses01F_impro06_M000,M01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_M000.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_M000.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_M000.npy,1
75,Ses01F_impro06_M005,M01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_M005.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_M005.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_M005.npy,3
76,Ses01F_impro06_M006,M01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_M006.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_M006.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_M006.npy,3
77,Ses01F_impro06_M008,M01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_M008.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_M008.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_M008.npy,3
78,Ses01F_impro06_M010,M01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_M010.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_M010.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_M010.npy,3
79,Ses01F_impro06_M011,M01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_M011.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_M011.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_M011.npy,3
80,Ses01F_impro06_M012,M01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_M012.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_M012.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_M012.npy,3
81,Ses01F_impro06_M016,M01,/features/visual_features/Session1/Ses01F_impro06/Ses01F_impro06_M016.npy,/features/acoustic_features/Session1/Ses01F_impro06/Ses01F_impro06_M016.npy,/features/lexical_features/Session1/Ses01F_impro06/Ses01F_impro06_M016.npy,3
82,Ses01F_impro07_M013,M01,/features/visual_features/Session1/Ses01F_impro07/Ses01F_impro07_M013.npy,/features/acoustic_features/Session1/Ses01F_impro07/Ses01F_impro07_M013.npy,/features/lexical_features/Session1/Ses01F_impro07/Ses01F_impro07_M013.npy,3
83,Ses01F_impro07_M019,M01,/features/visual_features/Session1/Ses01F_impro07/Ses01F_impro07_M019.npy,/features/acoustic_features/Session1/Ses01F_impro07/Ses01F_impro07_M019.npy,/features/lexical_features/Session1/Ses01F_impro07/Ses01F_impro07_M019.npy,2
84,Ses01F_script01_1_F015,F01,/features/visual_features/Session1/Ses01F_script01_1/Ses01F_script01_1_F015.npy,/features/acoustic_features/Session1/Ses01F_script01_1/Ses01F_script01_1_F015.npy,/features/lexical_features/Session1/Ses01F_script01_1/Ses01F_script01_1_F015.npy,3
85,Ses01F_script01_1_F041,F01,/features/visual_features/Session1/Ses01F_script01_1/Ses01F_script01_1_F041.npy,/features/acoustic_features/Session1/Ses01F_script01_1/Ses01F_script01_1_F041.npy,/features/lexical_features/Session1/Ses01F_script01_1/Ses01F_script01_1_F041.npy,0
86,Ses01F_script01_1_F042,F01,/features/visual_features/Session1/Ses01F_script01_1/Ses01F_script01_1_F042.npy,/features/acoustic_features/Session1/Ses01F_script01_1/Ses01F_script01_1_F042.npy,/features/lexical_features/Session1/Ses01F_script01_1/Ses01F_script01_1_F042.npy,0
87,Ses01F_script01_1_M001,M01,/features/visual_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M001.npy,/features/acoustic_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M001.npy,/features/lexical_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M001.npy,3
88,Ses01F_script01_1_M002,M01,/features/visual_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M002.npy,/features/acoustic_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M002.npy,/features/lexical_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M002.npy,3
89,Ses01F_script01_1_M010,M01,/features/visual_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M010.npy,/features/acoustic_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M010.npy,/features/lexical_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M010.npy,3
90,Ses01F_script01_1_M015,M01,/features/visual_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M015.npy,/features/acoustic_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M015.npy,/features/lexical_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M015.npy,3
91,Ses01F_script01_1_M017,M01,/features/visual_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M017.npy,/features/acoustic_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M017.npy,/features/lexical_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M017.npy,3
92,Ses01F_script01_1_M019,M01,/features/visual_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M019.npy,/features/acoustic_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M019.npy,/features/lexical_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M019.npy,0
93,Ses01F_script01_1_M024,M01,/features/visual_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M024.npy,/features/acoustic_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M024.npy,/features/lexical_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M024.npy,3
94,Ses01F_script01_1_M034,M01,/features/visual_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M034.npy,/features/acoustic_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M034.npy,/features/lexical_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M034.npy,3
95,Ses01F_script01_1_M039,M01,/features/visual_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M039.npy,/features/acoustic_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M039.npy,/features/lexical_features/Session1/Ses01F_script01_1/Ses01F_script01_1_M039.npy,3
96,Ses01F_script01_2_F007,F01,/features/visual_features/Session1/Ses01F_script01_2/Ses01F_script01_2_F007.npy,/features/acoustic_features/Session1/Ses01F_script01_2/Ses01F_script01_2_F007.npy,/features/lexical_features/Session1/Ses01F_script01_2/Ses01F_script01_2_F007.npy,0
97,Ses01F_script01_2_F008,F01,/features/visual_features/Session1/Ses01F_script01_2/Ses01F_script01_2_F008.npy,/features/acoustic_features/Session1/Ses01F_script01_2/Ses01F_script01_2_F008.npy,/features/lexical_features/Session1/Ses01F_script01_2/Ses01F_script01_2_F008.npy,0
98,Ses01F_script01_2_F009,F01,/features/visual_features/Session1/Ses01F_script01_2/Ses01F_script01_2_F009.npy,/features/acoustic_features/Session1/Ses01F_script01_2/Ses01F_script01_2_F009.npy,/features/lexical_features/Session1/Ses01F_script01_2/Ses01F_script01_2_F009.npy,0
99,Ses01F_script01_2_F012,F01,/features/visual_features/Session1/Ses01F_script01_2/Ses01F_script01_2_F012.npy,/features/acoustic_features/Session1/Ses01F_script01_2/Ses01F_script01_2_F012.npy,/features/lexical_features/Session1/Ses01F_script01_2/Ses01F_script01_2_F012.npy,0
